Year;Month;departement;prix_m2_vente;date
2023;7;13;4565.193790697675;2023-07-01
2023;7;14;3568.817896713615;2023-07-01
2023;7;15;1503.259431818182;2023-07-01
2023;7;16;1624.6275943396226;2023-07-01
2023;7;17;3631.8990875;2023-07-01
2023;7;18;1407.1800314465409;2023-07-01
2023;7;19;1669.862712933754;2023-07-01
2023;7;20;5296.912575406032;2023-07-01
2023;7;21;2705.9627727856227;2023-07-01
2023;7;22;2702.659304229195;2023-07-01
2023;7;23;998.7637078651685;2023-07-01
2023;7;24;1926.648411214953;2023-07-01
2023;7;25;2234.626537313433;2023-07-01
2023;7;26;2637.8270895522387;2023-07-01
2023;7;27;2207.3433333333332;2023-07-01
2023;7;28;2228.5804945454547;2023-07-01
2023;7;29;2882.094095982143;2023-07-01
2023;7;30;2946.1969588619763;2023-07-01
2023;7;31;3284.0162581946547;2023-07-01
2023;7;32;1846.3619584569733;2023-07-01
2023;7;33;4067.86055780933;2023-07-01
2023;7;34;3883.1304658385093;2023-07-01
2023;7;35;3754.4329991204927;2023-07-01
2023;7;36;1230.381148325359;2023-07-01
2023;7;37;2683.1205528255527;2023-07-01
2023;7;38;3124.6200979112273;2023-07-01
2023;7;39;1900.5711111111111;2023-07-01
2023;7;40;3716.2918407960196;2023-07-01
2023;7;41;1785.8576808510638;2023-07-01
2023;7;42;1959.3128451178452;2023-07-01
2023;7;43;1694.359043478261;2023-07-01
2023;7;44;3905.542602061856;2023-07-01
2023;7;45;2244.8453464203235;2023-07-01
2023;7;46;1811.6497395833333;2023-07-01
2023;7;47;1786.8497362637363;2023-07-01
2023;7;48;1701.898;2023-07-01
2023;7;49;2612.5299801783945;2023-07-01
2023;7;50;2417.4603748125937;2023-07-01
2023;7;51;2413.8190740740743;2023-07-01
2023;7;52;1228.9541007194243;2023-07-01
2023;7;53;1859.2204705882352;2023-07-01
2023;7;54;2061.1099159663863;2023-07-01
2023;7;55;1138.387254901961;2023-07-01
2023;7;56;3603.4659771126762;2023-07-01
2023;7;57;2412.8680720092916;2023-07-01
2023;7;58;1164.0597881355932;2023-07-01
2023;7;59;2766.1296412556053;2023-07-01
2023;7;60;2659.9005494505495;2023-07-01
2023;7;61;1647.1238723404256;2023-07-01
2023;7;62;2781.707771023303;2023-07-01
2023;7;63;2235.719769503546;2023-07-01
2023;7;64;4544.27094356261;2023-07-01
2023;7;65;1949.5631468531471;2023-07-01
2023;7;66;2905.386787086856;2023-07-01
2023;7;67;3460.740257009346;2023-07-01
2023;7;68;2686.7010774410774;2023-07-01
2023;7;69;4434.906142152835;2023-07-01
2023;7;70;1301.3834507042254;2023-07-01
2023;7;71;1702.7706367041199;2023-07-01
2023;7;72;1717.1470363636363;2023-07-01
2023;7;73;4304.9503370786515;2023-07-01
2023;7;74;5215.179576213261;2023-07-01
2023;7;75;10964.324971800434;2023-07-01
2023;7;76;2520.428271484375;2023-07-01
2023;7;77;3307.253383058071;2023-07-01
2023;7;78;4725.7102220324505;2023-07-01
2023;7;79;1528.8061052631579;2023-07-01
2023;7;80;2337.2502999999997;2023-07-01
2023;7;81;2046.4761375661376;2023-07-01
2023;7;82;2026.5082185273159;2023-07-01
2023;7;83;4921.428484187568;2023-07-01
2023;7;84;3136.9169833496576;2023-07-01
2023;7;85;3063.4218229166668;2023-07-01
2023;7;86;1832.817770700637;2023-07-01
2023;7;87;1615.9536756756756;2023-07-01
2023;7;88;1573.8851546391754;2023-07-01
2023;7;89;1754.1105871559632;2023-07-01
2023;7;90;1775.9955263157894;2023-07-01
2023;7;91;3564.0688184079604;2023-07-01
2023;7;92;7765.568129496402;2023-07-01
2023;7;93;4686.607596273292;2023-07-01
2023;7;94;5619.841207729469;2023-07-01
2023;7;95;3921.2696771714063;2023-07-01
2023;7;97;3607.1153023255815;2023-07-01
2023;7;na;3608.8489762036525;2023-07-01
2023;8;01;3128.443861047836;2023-08-01
2023;8;02;1458.7486055276381;2023-08-01
2023;8;03;1633.6541666666667;2023-08-01
2023;8;04;2571.300505050505;2023-08-01
2023;8;05;3133.538888888889;2023-08-01
2023;8;06;6390.8970878346645;2023-08-01
2023;8;07;2212.586185897436;2023-08-01
2023;8;08;1428.9555855855856;2023-08-01
2023;8;09;1745.7729569892474;2023-08-01
2023;8;10;1732.0806696428572;2023-08-01
2023;8;11;2184.9969440242057;2023-08-01
2023;8;12;1789.961052631579;2023-08-01
2023;8;13;4326.150854583046;2023-08-01
2023;8;14;3642.731989459816;2023-08-01
2023;8;15;1381.585205479452;2023-08-01
2023;8;16;1530.1545484949834;2023-08-01
2023;8;17;3591.6220388349516;2023-08-01
2023;8;18;1416.586009174312;2023-08-01
2023;8;19;1642.4397413793104;2023-08-01
2023;8;20;4910.879692307692;2023-08-01
2023;8;21;2555.465504385965;2023-08-01
2023;8;22;2826.545583482944;2023-08-01
